ExperimentID,FractionID,ID,Total_SpecCounts
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,ENOG4106HRX,4
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,ENOG4109XNR,6
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,ENOG410CJBM,28
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,ENOG410IEYG,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,ENOG410IN3J,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,ENOG410IW5Z,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,ENOG410JNG0,4
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,ENOG410KF1A,5
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,ENOG410RMFX,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,ENOG410RREN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,ENOG410RVI4,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,ENOG410RXRK,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,ENOG410RYUW,3
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,KOG0052,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,KOG0102,4
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,KOG0657,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,KOG0852,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,KOG0888,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,KOG0974,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,KOG1758,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,KOG4203,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,KOG4307,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,KOG4379,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,KOG4661,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,ENOG4106HRX,5
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,ENOG4109XNR,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,ENOG410CJBM,23
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,ENOG410IF9T,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,ENOG410IR2X,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,ENOG410JNG0,5
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,ENOG410KF1A,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,ENOG410RMFX,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,ENOG410RPNT,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,ENOG410RV6A,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,KOG0102,3
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,KOG3378,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,KOG4379,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A05,ENOG410RRAM,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A07,ENOG410JNG0,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A07,KOG1258,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A07,KOG1950,11
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A07,KOG3378,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,ENOG410IE3R,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,ENOG410IES1,1
