ExperimentID,FractionID,ID,Total_SpecCounts
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|O60674|JAK2_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|P04083|ANXA1_HUMAN,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|P04264|K2C1_HUMAN,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|P04406|G3P_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|P07355|ANXA2_HUMAN,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|P09936|UCHL1_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|P10599|THIO_HUMAN,4
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|P11142|HSP7C_HUMAN,28
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|P11216|PYGB_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|P14923|PLAK_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|P30048|PRDX3_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|P30049|ATPD_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|P35080|PROF2_HUMAN,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|P35527|K1C9_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|P35908|K22E_HUMAN,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|P38646|GRP75_HUMAN,4
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|P62633|CNBP_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|P81605|DCD_HUMAN,5
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|Q14151|SAFB2_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|Q96RS6|NUDC1_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|Q99829|CPNE1_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|Q9NNW5|WDR6_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A01,sp|Q9NZT1|CALL5_HUMAN,3
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,sp|O15066|KIF3B_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,sp|O95453|PARN_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,sp|P04264|K2C1_HUMAN,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,sp|P09936|UCHL1_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,sp|P10599|THIO_HUMAN,5
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,sp|P11142|HSP7C_HUMAN,23
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,sp|P35908|K22E_HUMAN,3
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,sp|P38646|GRP75_HUMAN,3
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,sp|P68871|HBB_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,sp|P81605|DCD_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,sp|Q8WWQ8|STAB2_HUMAN,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,sp|Q96RS6|NUDC1_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A03,sp|Q9C091|GRB1L_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A05,sp|Q86WA8|LONP2_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A07,sp|P04264|K2C1_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A07,sp|P46976|GLYG_HUMAN,11
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A07,sp|P68871|HBB_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A07,sp|Q86UA1|PRP39_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|O15217|GSTA4_HUMAN,3
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|O75916|RGS9_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|P00918|CAH2_HUMAN,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|P02545|LMNA_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|P04264|K2C1_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|P05121|PAI1_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|P06733|ENOA_HUMAN,667
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|P07737|PROF1_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|P09104|ENOG_HUMAN,3
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|P11279|LAMP1_HUMAN,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|P13929|ENOB_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|P20073|ANXA7_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|P30044|PRDX5_HUMAN,84
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|P31323|KAP3_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|P46976|GLYG_HUMAN,11
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|P50336|PPOX_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|P98171|RHG04_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|Q56P03|EAPP_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|Q5M9N0|CD158_HUMAN,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|Q6IBW4|CNDH2_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|Q6NW34|NEPRO_HUMAN,5
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|Q96KR1|ZFR_HUMAN,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|Q96PK6|RBM14_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|Q96RS6|NUDC1_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|Q9H501|ESF1_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|Q9HCK8|CHD8_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A09,sp|Q9NTZ6|RBM12_HUMAN,11
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|O00115|DNS2A_HUMAN,4
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|O00244|ATOX1_HUMAN,13
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|O00522|KRIT1_HUMAN,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|O00754|MA2B1_HUMAN,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|O14497|ARI1A_HUMAN,4
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|O14545|TRAD1_HUMAN,4
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|O14933|UB2L6_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|O14974|MYPT1_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|O15041|SEM3E_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|O15439|MRP4_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|O43447|PPIH_HUMAN,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|O43597|SPY2_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|O60346|PHLP1_HUMAN,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|O60664|PLIN3_HUMAN,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|O75608|LYPA1_HUMAN,3
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|O95372|LYPA2_HUMAN,4
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|O95416|SOX14_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|O95817|BAG3_HUMAN,8
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|P00338|LDHA_HUMAN,24
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|P00441|SODC_HUMAN,38
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|P00505|AATM_HUMAN,8
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|P02452|CO1A1_HUMAN,2
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|P02461|CO3A1_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|P02545|LMNA_HUMAN,3
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|P02795|MT2_HUMAN,7
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|P04040|CATA_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|P04080|CYTB_HUMAN,9
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|P04083|ANXA1_HUMAN,77
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|P04179|SODM_HUMAN,3
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|P05413|FABPH_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|P06576|ATPB_HUMAN,1
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|P06733|ENOA_HUMAN,96
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|P06744|G6PI_HUMAN,8
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|P07108|ACBP_HUMAN,36
Hs_CB660_1105,WAN1100525_OT2_CB660_HCW_P1A11,sp|P07195|LDHB_HUMAN,22
