Code,ID,Annotation
[OR],KOG0001,Ubiquitin and ubiquitin-like proteins
[J],KOG0002,60s ribosomal protein L39
[J],KOG0003,Ubiquitin/60s ribosomal protein L40 fusion
[J],KOG0004,Ubiquitin/40S ribosomal protein S27a fusion
[DO],KOG0005,Ubiquitin-like protein
[O],KOG0006,E3 ubiquitin-protein ligase (Parkin protein)
[A],KOG0007,Splicing factor 3a subunit 1
[K],KOG0008,Transcription initiation factor TFIID subunit TAF1
[JO],KOG0009,Ubiquitin-like/40S ribosomal S30 protein fusion
[OR],KOG0010,Ubiquitin-like protein
[L],KOG0011,Nucleotide excision repair factor NEF2 RAD23 component
[L],KOG0012,DNA damage inducible protein
[S],KOG0013,Uncharacterized conserved protein
[K],KOG0014,MADS box transcription factor
[K],KOG0015,Regulator of arginine metabolism and related MADS box-containing transcription factors
[I],KOG0016,Enoyl-CoA hydratase/isomerase
[R],KOG0017,FOG: Transposon-encoded proteins with TYA reverse transcriptase integrase domains in various combinations
[D],KOG0018,Structural maintenance of chromosome protein 1 (sister chromatid cohesion complex Cohesin subunit SMC1)
[O],KOG0019,Molecular chaperone (HSP90 family)
[O],KOG0020,Endoplasmic reticulum glucose-regulated protein (GRP94/endoplasmin) HSP90 family
[Q],KOG0021,Glutathione synthetase
[Q],KOG0022,Alcohol dehydrogenase class III
[Q],KOG0023,Alcohol dehydrogenase class V
[Q],KOG0024,Sorbitol dehydrogenase
[KC],KOG0025,Zn2+-binding dehydrogenase (nuclear receptor binding factor-1)
[E],KOG0026,Anthranilate synthase beta chain
[T],KOG0027,Calmodulin and related proteins (EF-Hand superfamily)
[ZD],KOG0028,Ca2+-binding protein (centrin/caltractin) EF-Hand superfamily protein
[Q],KOG0029,Amine oxidase
[Z],KOG0030,Myosin essential light chain EF-Hand protein superfamily
[Z],KOG0031,Myosin regulatory light chain EF-Hand protein superfamily
[T],KOG0032,Ca2+/calmodulin-dependent protein kinase EF-Hand protein superfamily
