ID,WAN1100525_OT2_CB660_HCW_P1A01,WAN1100525_OT2_CB660_HCW_P1A03,WAN1100525_OT2_CB660_HCW_P1A05,WAN1100525_OT2_CB660_HCW_P1A07,WAN1100525_OT2_CB660_HCW_P1A09,WAN1100525_OT2_CB660_HCW_P1A11,WAN1100525_OT2_CB660_HCW_P1B01,WAN1100525_OT2_CB660_HCW_P1B02,WAN1100525_OT2_CB660_HCW_P1B03,WAN1100525_OT2_CB660_HCW_P1B04,WAN1100525_OT2_CB660_HCW_P1B05,WAN1100525_OT2_CB660_HCW_P1B06,WAN1100525_OT2_CB660_HCW_P1B07,WAN1100525_OT2_CB660_HCW_P1B08,WAN1100525_OT2_CB660_HCW_P1B09,WAN1100525_OT2_CB660_HCW_P1B10,WAN1100525_OT2_CB660_HCW_P1B11,WAN1100525_OT2_CB660_HCW_P1B12,WAN1100525_OT2_CB660_HCW_P1C01,WAN1100525_OT2_CB660_HCW_P1C02,WAN1100525_OT2_CB660_HCW_P1C03,WAN1100525_OT2_CB660_HCW_P1C04,WAN1100525_OT2_CB660_HCW_P1C05,WAN1100525_OT2_CB660_HCW_P1C06,WAN1100525_OT2_CB660_HCW_P1C07,WAN1100525_OT2_CB660_HCW_P1C08,WAN1100525_OT2_CB660_HCW_P1C09,WAN1100525_OT2_CB660_HCW_P1C10,WAN1100525_OT2_CB660_HCW_P1C11,WAN1100525_OT2_CB660_HCW_P1C12,WAN1100525_OT2_CB660_HCW_P1D01,WAN1100525_OT2_CB660_HCW_P1D02,WAN1100525_OT2_CB660_HCW_P1D03,WAN1100525_OT2_CB660_HCW_P1D04,WAN1100525_OT2_CB660_HCW_P1D05,WAN1100525_OT2_CB660_HCW_P1D06,WAN1100525_OT2_CB660_HCW_P1D08,WAN1100525_OT2_CB660_HCW_P1D09,WAN1100525_OT2_CB660_HCW_P1D10,WAN1100525_OT2_CB660_HCW_P1D11,WAN1100525_OT2_CB660_HCW_P1D12,WAN1100525_OT2_CB660_HCW_P1E01,WAN1100525_OT2_CB660_HCW_P1E02,WAN1100525_OT2_CB660_HCW_P1E03,WAN1100525_OT2_CB660_HCW_P1E04,WAN1100525_OT2_CB660_HCW_P1E05,WAN1100525_OT2_CB660_HCW_P1E06,WAN1100525_OT2_CB660_HCW_P1E07,WAN1100525_OT2_CB660_HCW_P1E08,WAN1100525_OT2_CB660_HCW_P1E09,WAN1100525_OT2_CB660_HCW_P1E10,WAN1100525_OT2_CB660_HCW_P1E11,WAN1100525_OT2_CB660_HCW_P1E12,WAN1100528_OT2_CB660_HCW_P1F01,WAN1100528_OT2_CB660_HCW_P1F02,WAN1100528_OT2_CB660_HCW_P1F03,WAN1100528_OT2_CB660_HCW_P1F04,WAN1100528_OT2_CB660_HCW_P1F05,WAN1100528_OT2_CB660_HCW_P1F06,WAN1100528_OT2_CB660_HCW_P1F07,WAN1100528_OT2_CB660_HCW_P1F08,WAN1100528_OT2_CB660_HCW_P1F09,WAN1100528_OT2_CB660_HCW_P1F10,WAN1100528_OT2_CB660_HCW_P1F11,WAN1100528_OT2_CB660_HCW_P1F12,WAN1100528_OT2_CB660_HCW_P1G01,WAN1100528_OT2_CB660_HCW_P1G02,WAN1100528_OT2_CB660_HCW_P1G03,WAN1100528_OT2_CB660_HCW_P1G04,WAN1100528_OT2_CB660_HCW_P1G05,WAN1100528_OT2_CB660_HCW_P1G06,WAN1100528_OT2_CB660_HCW_P1G07,WAN1100528_OT2_CB660_HCW_P1G08,WAN1100528_OT2_CB660_HCW_P1G09,WAN1100528_OT2_CB660_HCW_P1G10,WAN1100528_OT2_CB660_HCW_P1G11,WAN1100528_OT2_CB660_HCW_P1G12,WAN1100528_OT2_CB660_HCW_P1H01,WAN1100528_OT2_CB660_HCW_P1H02,WAN1100528_OT2_CB660_HCW_P1H03,WAN1100528_OT2_CB660_HCW_P1H04,WAN1100528_OT2_CB660_HCW_P1H05,WAN1100528_OT2_CB660_HCW_P1H06,WAN1100528_OT2_CB660_HCW_P1H07,WAN1100528_OT2_CB660_HCW_P1H08,WAN1100528_OT2_CB660_HCW_P1H09,WAN1100528_OT2_CB660_HCW_P1H10,WAN1100528_OT2_CB660_HCW_P1H11,WAN1100528_OT2_CB660_HCW_P1H12,WAN1100528_OT2_CB660_HCW_P2A01,WAN1100528_OT2_CB660_HCW_P2A02,WAN1100528_OT2_CB660_HCW_P2A03,WAN1100528_OT2_CB660_HCW_P2A04,WAN1100528_OT2_CB660_HCW_P2A05,WAN1100528_OT2_CB660_HCW_P2A06,WAN1100528_OT2_CB660_HCW_P2A07,WAN1100528_OT2_CB660_HCW_P2A08,WAN1100528_OT2_CB660_HCW_P2A09,WAN1100528_OT2_CB660_HCW_P2A10,WAN1100528_OT2_CB660_HCW_P2A11,WAN1100528_OT2_CB660_HCW_P2A12,WAN1100528_OT2_CB660_HCW_P2B01,WAN1100528_OT2_CB660_HCW_P2B03,WAN1100528_OT2_CB660_HCW_P2B05,WAN1100528_OT2_CB660_HCW_P2B07,WAN1100528_OT2_CB660_HCW_P2B09,WAN1100528_OT2_CB660_HCW_P2B11,Total,Annotation,ProteinID
ENOG4102N3X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,sp|Q14344|GNA13_HUMAN sp|Q03113|GNA12_HUMAN
ENOG4102N5X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,13.0,2.0,0.0,5.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,10.0,13.0,14.0,6.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,142.0,,sp|P60953|CDC42_HUMAN sp|P60763|RAC3_HUMAN sp|P15153|RAC2_HUMAN sp|P63000|RAC1_HUMAN
ENOG4102NDK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,15.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,14.0,11.0,19.0,9.0,30.0,33.0,27.0,27.0,37.0,0.0,39.0,42.0,38.0,33.0,36.0,41.0,46.0,46.0,25.0,33.0,25.0,25.0,26.0,46.0,31.0,25.0,30.0,15.0,10.0,13.0,16.0,13.0,25.0,23.0,15.0,10.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,993.0,,sp|P68371|TBB4B_HUMAN sp|Q9BVA1|TBB2B_HUMAN sp|Q3ZCM7|TBB8_HUMAN sp|Q9H4B7|TBB1_HUMAN sp|P07437|TBB5_HUMAN sp|P04350|TBB4A_HUMAN sp|Q13885|TBB2A_HUMAN sp|A6NNZ2|TBB8L_HUMAN
ENOG4102NVX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,sp|O75113|N4BP1_HUMAN
ENOG4102QZC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,,sp|P51668|UB2D1_HUMAN sp|P62837|UB2D2_HUMAN sp|P61077|UB2D3_HUMAN sp|Q9Y2X8|UB2D4_HUMAN
ENOG4103AXU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,sp|O14976|GAK_HUMAN
ENOG4103V3H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,,sp|Q96AY3|FKB10_HUMAN sp|Q9NYL4|FKB11_HUMAN sp|O95302|FKBP9_HUMAN
ENOG4103VJ5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,6.0,4.0,0.0,12.0,18.0,13.0,0.0,0.0,0.0,6.0,0.0,9.0,4.0,7.0,5.0,5.0,5.0,6.0,3.0,7.0,0.0,5.0,8.0,9.0,8.0,5.0,6.0,7.0,8.0,5.0,3.0,2.0,1.0,2.0,2.0,3.0,5.0,2.0,0.0,0.0,3.0,4.0,5.0,2.0,2.0,1.0,3.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,232.0,,sp|O15460|P4HA2_HUMAN sp|P13674|P4HA1_HUMAN sp|Q7Z4N8|P4HA3_HUMAN
ENOG4104EQ0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,sp|P61224|RAP1B_HUMAN sp|A6NIZ1|RP1BL_HUMAN
ENOG4104JDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,sp|Q16537|2A5E_HUMAN
